Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,
975,217470,217502,"n",
976,217503,217535,"n",
977,217536,217568,"n",
978,217569,217601,"n",
979,217602,217634,"n",
980,217635,217667,"n",
981,217668,217700,"n",
982,217701,217733,"n",
983,217734,217766,"n",
984,217767,217799,"n",
985,217800,217832,"n",
986,217833,217865,"l",
987,217866,217898,"l",
988,217899,217931,"l",
989,217932,217964,"l",
990,217965,217997,"l",
991,217998,218030,"l",
992,218031,218063,"l",
993,218064,218096,"l",
994,218097,218129,"l",
995,218130,218162,"l",
996,218163,218195,"l",
997,218196,218228,"l",
998,218229,218261,"l",
999,218262,218294,"l",
1000,218295,218327,"l",
1001,218328,218360,"l",
1002,218361,218393,"l",
1003,218394,218426,"l",
1004,218427,218459,"l",
1005,218460,218492,"l",
1006,218493,218525,"l",
1007,218526,218558,"l",
1008,218559,218591,"l",
1009,218592,218624,"l",
1010,218625,218657,"l",
1011,218658,218690,"l",
1012,218691,218723,"l",
1013,218724,218756,"l",
1014,231660,231692,"i",
1015,231693,231725,"i",
1016,231726,231758,"i",
1017,231759,231791,"i",
1018,231792,231824,"i",
1019,231825,231857,"i",
1020,231858,231890,"i",
1021,231891,231923,"i",
1022,231924,231956,"i",
1023,231957,231989,"i",
1024,231990,232022,"i",
1025,232023,232055,"i",
1026,232056,232088,"i",
